node_idx,distance,time,weekday,demand
s5,542.0,19,6,2
s5,542.0,19,7,2
s5,542.0,20,1,1
s5,542.0,20,2,0
s5,542.0,20,3,1
s5,542.0,20,4,1
s5,542.0,20,5,2
s5,542.0,20,6,2
s5,542.0,20,7,1
s5,542.0,21,1,2
s5,542.0,21,2,1
s5,542.0,21,3,0
s5,542.0,21,4,1
s5,542.0,21,5,1
s5,542.0,21,6,2
s5,542.0,21,7,2
s5,542.0,22,1,0
s5,542.0,22,2,0
s5,542.0,22,3,0
s5,542.0,22,4,0
s5,542.0,22,5,0
s5,542.0,22,6,0
s5,542.0,22,7,1
s5,542.0,23,1,0
s5,542.0,23,2,0
s5,542.0,23,3,0
s5,542.0,23,4,0
s5,542.0,23,5,0
s5,542.0,23,6,0
s5,542.0,23,7,1
s6,613.0,0,1,1
s6,613.0,0,2,1
s6,613.0,0,3,0
s6,613.0,0,4,0
s6,613.0,0,5,0
s6,613.0,0,6,0
s6,613.0,0,7,0
s6,613.0,1,1,0
s6,613.0,1,2,0
s6,613.0,1,3,0
s6,613.0,1,4,0
s6,613.0,1,5,0
s6,613.0,1,6,0
s6,613.0,1,7,1
s6,613.0,2,1,0
s6,613.0,2,2,0
s6,613.0,2,3,0
s6,613.0,2,4,0
s6,613.0,2,5,0
s6,613.0,2,6,0
s6,613.0,2,7,0
s6,613.0,3,1,0
s6,613.0,3,2,1
s6,613.0,3,3,0
s6,613.0,3,4,0
s6,613.0,3,5,0
s6,613.0,3,6,0
s6,613.0,3,7,0
s6,613.0,4,1,0
s6,613.0,4,2,1
s6,613.0,4,3,0
s6,613.0,4,4,0
s6,613.0,4,5,0
s6,613.0,4,6,0
s6,613.0,4,7,0
s6,613.0,5,1,0
s6,613.0,5,2,0
s6,613.0,5,3,0
s6,613.0,5,4,0
s6,613.0,5,5,0
s6,613.0,5,6,0
s6,613.0,5,7,0
s6,613.0,6,1,0
s6,613.0,6,2,0
s6,613.0,6,3,0
s6,613.0,6,4,0
s6,613.0,6,5,0
s6,613.0,6,6,0
s6,613.0,6,7,0
s6,613.0,7,1,0
s6,613.0,7,2,0
s6,613.0,7,3,0
s6,613.0,7,4,0
s6,613.0,7,5,1
s6,613.0,7,6,0
s6,613.0,7,7,0
s6,613.0,8,1,0
s6,613.0,8,2,0
s6,613.0,8,3,0
s6,613.0,8,4,0
s6,613.0,8,5,1
s6,613.0,8,6,1
s6,613.0,8,7,1
s6,613.0,9,1,2
s6,613.0,9,2,1
s6,613.0,9,3,1
s6,613.0,9,4,0
s6,613.0,9,5,2
s6,613.0,9,6,3
s6,613.0,9,7,2
s6,613.0,10,1,3
s6,613.0,10,2,2
s6,613.0,10,3,3
s6,613.0,10,4,2
s6,613.0,10,5,2
s6,613.0,10,6,2
s6,613.0,10,7,2
s6,613.0,11,1,3
s6,613.0,11,2,3
s6,613.0,11,3,2
s6,613.0,11,4,2
s6,613.0,11,5,3
s6,613.0,11,6,3
s6,613.0,11,7,4
s6,613.0,12,1,4
s6,613.0,12,2,2
s6,613.0,12,3,2
s6,613.0,12,4,3
s6,613.0,12,5,3
s6,613.0,12,6,4
s6,613.0,12,7,5
s6,613.0,13,1,5
s6,613.0,13,2,3
s6,613.0,13,3,2
s6,613.0,13,4,4
s6,613.0,13,5,3
s6,613.0,13,6,4
s6,613.0,13,7,4
s6,613.0,14,1,4
s6,613.0,14,2,3
s6,613.0,14,3,2
s6,613.0,14,4,4
s6,613.0,14,5,3
s6,613.0,14,6,4
s6,613.0,14,7,5
s6,613.0,15,1,6
s6,613.0,15,2,4
s6,613.0,15,3,4
s6,613.0,15,4,3
s6,613.0,15,5,4
s6,613.0,15,6,4
s6,613.0,15,7,4
s6,613.0,16,1,4
s6,613.0,16,2,4
s6,613.0,16,3,3
s6,613.0,16,4,4
s6,613.0,16,5,4
s6,613.0,16,6,5
s6,613.0,16,7,5
s6,613.0,17,1,5
s6,613.0,17,2,4
s6,613.0,17,3,4
s6,613.0,17,4,2
s6,613.0,17,5,2
s6,613.0,17,6,4
s6,613.0,17,7,5
s6,613.0,18,1,3
s6,613.0,18,2,2
s6,613.0,18,3,2
s6,613.0,18,4,2
s6,613.0,18,5,1
s6,613.0,18,6,3
s6,613.0,18,7,3
s6,613.0,19,1,2
s6,613.0,19,2,3
s6,613.0,19,3,2
s6,613.0,19,4,1
s6,613.0,19,5,2
s6,613.0,19,6,2
s6,613.0,19,7,2
s6,613.0,20,1,2
s6,613.0,20,2,2
s6,613.0,20,3,1
s6,613.0,20,4,1
s6,613.0,20,5,1
s6,613.0,20,6,2
s6,613.0,20,7,0
s6,613.0,21,1,1
s6,613.0,21,2,2
s6,613.0,21,3,2
s6,613.0,21,4,0
s6,613.0,21,5,0
s6,613.0,21,6,2
s6,613.0,21,7,1
s6,613.0,22,1,1
s6,613.0,22,2,0
s6,613.0,22,3,0
s6,613.0,22,4,0
s6,613.0,22,5,1
s6,613.0,22,6,1
s6,613.0,22,7,1
s6,613.0,23,1,1
s6,613.0,23,2,0
s6,613.0,23,3,1
s6,613.0,23,4,0
s6,613.0,23,5,0
s6,613.0,23,6,1
s6,613.0,23,7,1
s7,678.0,0,1,0
s7,678.0,0,2,1
s7,678.0,0,3,0
s7,678.0,0,4,0
s7,678.0,0,5,0
s7,678.0,0,6,0
s7,678.0,0,7,1
s7,678.0,1,1,0
s7,678.0,1,2,0
s7,678.0,1,3,0
s7,678.0,1,4,0
s7,678.0,1,5,0
s7,678.0,1,6,0
s7,678.0,1,7,1
s7,678.0,2,1,0
s7,678.0,2,2,0
s7,678.0,2,3,0
s7,678.0,2,4,0
s7,678.0,2,5,0
s7,678.0,2,6,0
s7,678.0,2,7,0
s7,678.0,3,1,0
s7,678.0,3,2,0
s7,678.0,3,3,0
s7,678.0,3,4,0
s7,678.0,3,5,0
s7,678.0,3,6,0
s7,678.0,3,7,1
s7,678.0,4,1,0
s7,678.0,4,2,0
s7,678.0,4,3,0
s7,678.0,4,4,0
s7,678.0,4,5,0
s7,678.0,4,6,0
s7,678.0,4,7,0
s7,678.0,5,1,0
s7,678.0,5,2,0
s7,678.0,5,3,1
s7,678.0,5,4,0
s7,678.0,5,5,0
s7,678.0,5,6,0
s7,678.0,5,7,0
s7,678.0,6,1,0
s7,678.0,6,2,0
s7,678.0,6,3,0
s7,678.0,6,4,0
s7,678.0,6,5,0
s7,678.0,6,6,0
s7,678.0,6,7,0
s7,678.0,7,1,0
s7,678.0,7,2,0
s7,678.0,7,3,0
s7,678.0,7,4,0
s7,678.0,7,5,0
s7,678.0,7,6,0
s7,678.0,7,7,0
s7,678.0,8,1,1
s7,678.0,8,2,0
s7,678.0,8,3,0
s7,678.0,8,4,0
s7,678.0,8,5,0
s7,678.0,8,6,0
s7,678.0,8,7,0
s7,678.0,9,1,1
s7,678.0,9,2,2
s7,678.0,9,3,1
s7,678.0,9,4,0
s7,678.0,9,5,0
s7,678.0,9,6,2
s7,678.0,9,7,1
s7,678.0,10,1,1
s7,678.0,10,2,2
s7,678.0,10,3,1
s7,678.0,10,4,0
s7,678.0,10,5,1
s7,678.0,10,6,1
s7,678.0,10,7,2
s7,678.0,11,1,3
s7,678.0,11,2,1
s7,678.0,11,3,1
s7,678.0,11,4,1
s7,678.0,11,5,0
s7,678.0,11,6,2
s7,678.0,11,7,2
s7,678.0,12,1,3
s7,678.0,12,2,2
s7,678.0,12,3,3
s7,678.0,12,4,1
s7,678.0,12,5,1
s7,678.0,12,6,2
s7,678.0,12,7,1
s7,678.0,13,1,3
s7,678.0,13,2,2
s7,678.0,13,3,1
s7,678.0,13,4,2
s7,678.0,13,5,1
s7,678.0,13,6,2
s7,678.0,13,7,2
s7,678.0,14,1,2
s7,678.0,14,2,2
s7,678.0,14,3,3
s7,678.0,14,4,2
s7,678.0,14,5,3
s7,678.0,14,6,3
s7,678.0,14,7,4
s7,678.0,15,1,4
s7,678.0,15,2,3
s7,678.0,15,3,2
s7,678.0,15,4,3
s7,678.0,15,5,3
s7,678.0,15,6,3
s7,678.0,15,7,3
s7,678.0,16,1,2
s7,678.0,16,2,3
s7,678.0,16,3,3
s7,678.0,16,4,1
s7,678.0,16,5,1
s7,678.0,16,6,3
s7,678.0,16,7,3
s7,678.0,17,1,2
s7,678.0,17,2,2
s7,678.0,17,3,2
s7,678.0,17,4,1
s7,678.0,17,5,1
s7,678.0,17,6,3
s7,678.0,17,7,3
s7,678.0,18,1,2
s7,678.0,18,2,2
s7,678.0,18,3,1
s7,678.0,18,4,2
s7,678.0,18,5,3
s7,678.0,18,6,3
s7,678.0,18,7,3
s7,678.0,19,1,3
s7,678.0,19,2,1
s7,678.0,19,3,1
s7,678.0,19,4,2
s7,678.0,19,5,1
s7,678.0,19,6,2
s7,678.0,19,7,3
s7,678.0,20,1,2
s7,678.0,20,2,1
s7,678.0,20,3,1
s7,678.0,20,4,0
s7,678.0,20,5,2
s7,678.0,20,6,1
s7,678.0,20,7,1
s7,678.0,21,1,1
s7,678.0,21,2,0
s7,678.0,21,3,0
s7,678.0,21,4,0
s7,678.0,21,5,1
s7,678.0,21,6,2
s7,678.0,21,7,0
s7,678.0,22,1,1
s7,678.0,22,2,0
s7,678.0,22,3,0
s7,678.0,22,4,1
s7,678.0,22,5,1
s7,678.0,22,6,1
s7,678.0,22,7,1
s7,678.0,23,1,0
s7,678.0,23,2,0
s7,678.0,23,3,0
s7,678.0,23,4,0
s7,678.0,23,5,0
s7,678.0,23,6,1
s7,678.0,23,7,2
s8,800.0,0,1,1
s8,800.0,0,2,1
s8,800.0,0,3,1
s8,800.0,0,4,1
s8,800.0,0,5,1
s8,800.0,0,6,1
s8,800.0,0,7,3
s8,800.0,1,1,1
s8,800.0,1,2,1
s8,800.0,1,3,1
s8,800.0,1,4,0
s8,800.0,1,5,1
s8,800.0,1,6,2
s8,800.0,1,7,2
s8,800.0,2,1,1
s8,800.0,2,2,2
s8,800.0,2,3,0
s8,800.0,2,4,0
s8,800.0,2,5,0
s8,800.0,2,6,1
s8,800.0,2,7,2
s8,800.0,3,1,1
s8,800.0,3,2,1
s8,800.0,3,3,0
s8,800.0,3,4,1
s8,800.0,3,5,1
s8,800.0,3,6,0
s8,800.0,3,7,1
s8,800.0,4,1,0
s8,800.0,4,2,0
s8,800.0,4,3,0
s8,800.0,4,4,0
s8,800.0,4,5,0
s8,800.0,4,6,0
s8,800.0,4,7,1
s8,800.0,5,1,0
s8,800.0,5,2,0
s8,800.0,5,3,0
s8,800.0,5,4,0
s8,800.0,5,5,0
s8,800.0,5,6,1
s8,800.0,5,7,1
s8,800.0,6,1,1
s8,800.0,6,2,0
s8,800.0,6,3,0
s8,800.0,6,4,1
s8,800.0,6,5,2
s8,800.0,6,6,1
s8,800.0,6,7,1
s8,800.0,7,1,1
s8,800.0,7,2,1
s8,800.0,7,3,0
s8,800.0,7,4,2
s8,800.0,7,5,2
s8,800.0,7,6,2
s8,800.0,7,7,2
s8,800.0,8,1,1
s8,800.0,8,2,2
s8,800.0,8,3,2
s8,800.0,8,4,2
s8,800.0,8,5,2
s8,800.0,8,6,3
s8,800.0,8,7,4
s8,800.0,9,1,7
s8,800.0,9,2,3
s8,800.0,9,3,4
s8,800.0,9,4,4
s8,800.0,9,5,5
s8,800.0,9,6,4
s8,800.0,9,7,8
s8,800.0,10,1,7
s8,800.0,10,2,5
s8,800.0,10,3,4
s8,800.0,10,4,6
s8,800.0,10,5,5
s8,800.0,10,6,7
s8,800.0,10,7,10
s8,800.0,11,1,11
s8,800.0,11,2,6
s8,800.0,11,3,5
s8,800.0,11,4,10
s8,800.0,11,5,9
s8,800.0,11,6,8
s8,800.0,11,7,11
s8,800.0,12,1,11
s8,800.0,12,2,6
s8,800.0,12,3,5
s8,800.0,12,4,8
s8,800.0,12,5,9
s8,800.0,12,6,9
s8,800.0,12,7,9
s8,800.0,13,1,9
s8,800.0,13,2,6
s8,800.0,13,3,6
s8,800.0,13,4,8
s8,800.0,13,5,8
s8,800.0,13,6,9
s8,800.0,13,7,8
s8,800.0,14,1,13
s8,800.0,14,2,5
s8,800.0,14,3,4
s8,800.0,14,4,10
s8,800.0,14,5,8
s8,800.0,14,6,9
s8,800.0,14,7,11
s8,800.0,15,1,10
s8,800.0,15,2,5
s8,800.0,15,3,7
s8,800.0,15,4,9
s8,800.0,15,5,10
s8,800.0,15,6,9
s8,800.0,15,7,10
s8,800.0,16,1,10
s8,800.0,16,2,5
s8,800.0,16,3,6
s8,800.0,16,4,10
s8,800.0,16,5,11
s8,800.0,16,6,11
